unit,section,height above base (ft),sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,tourmaline,glauconite,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
Fleishhacker Beds,L,504,670-130,55,3,0,12,10,0,14,3,0,0,0,1,0,2,0,0,1,8,74,183,55
Fleishhacker Beds,L,460,670-129,60,2,1,9,5,1,12,5,0,0,0,3,0,0,1,1,76,24,61,261,38
Fleishhacker Beds,L,418,670-128,67,0,0,4,14,0,13,1,0,0,0,1,0,0,0,0,0,11,52,163,61
Fleishhacker Beds,L,360,670-132,67,1,1,2,4,0,12,6,0,1,0,1,1,4,0,0,0,25,53,178,56
Fleishhacker Beds,L,311,670-127,66,2,2,3,5,0,10,10,0,0,1,1,0,0,0,0,2,9,132,243,41
Fleishhacker Beds,L,261,670-126,56,3,2,5,12,1,11,2,3,0,1,3,0,1,0,0,7,33,362,502,20
Fleishhacker Beds,L,191,670-125,61,1,2,12,16,0,6,0,0,0,1,0,0,0,0,1,4,11,97,212,47
Fleishhacker Beds,I,163,670-13,38,2,0,25,27,0,2,3,0,0,0,2,0,1,0,0,0,29,53,182,55
Fleishhacker Beds,L,131,670-124,31,2,2,32,22,0,3,0,0,0,0,2,3,3,0,0,0,59,47,206,49
Fleishhacker Beds,L,89,670-123,30,2,0,31,27,0,3,0,0,0,0,3,1,2,0,1,0,51,45,196,51
Fleishhacker Beds,I,49,670-79,30,0,0,31,22,0,7,1,0,0,1,5,1,2,0,0,0,64,49,213,47
Fleishhacker Beds,G,14,670-84,24,4,1,23,33,0,6,2,1,0,0,3,2,1,0,0,0,91,32,223,45
Fleishhacker Beds,G,9,670-85,42,3,0,24,18,1,4,1,0,0,0,5,0,2,0,0,0,18,33,151,66
Fleishhacker Beds,H,5,670-81,25,0,0,39,22,0,6,0,0,0,0,4,2,2,0,0,0,51,24,175,57
Fleishhacker Beds,G,2,670-86,36,1,0,35,17,0,5,1,0,1,0,2,0,2,0,0,0,45,18,163,61
Colma Formation,K,26,670-33,48,0,0,20,13,0,9,2,1,0,1,6,0,0,0,0,0,28,53,181,55
Colma Formation,L,4,670-131,48,1,0,18,10,0,8,5,1,0,0,6,1,2,0,0,0,9,44,153,65
Colma Formation,G,?,670-82,50,3,0,17,13,0,9,0,0,0,0,5,1,2,0,0,0,38,53,191,52
