section,lithology,ft above tuff,proportional position between tuff and base of upper gasteropod bed,ft above Westlake Fm,sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
G,,20,,,670-87,31,2,0,56,6,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,72,11,184,54
G,,12,,,670-22 ,67,2,0,13,11,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,30,57,187,53
G,tuff,,,,670-19 ,68,0,0,28,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,18,30,148,68
,tuff,,,,670-100 ,72,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,128,78
C,tuff,,,,670-6 ,56,0,0,38,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,3,131,76
G,,,0.96,,670-21,35,0,0,27,24,0,4,1,0,0,2,3,2,2,0,0,0,0,0,0,39,67,206,49
C,,,0.94,,670-1,32,1,2,26,18,1,5,4,0,0,0,8,0,1,1,1,0,0,0,1,34,62,197,51
B,,,0.86,,670-8,49,6,1,11,11,0,11,4,0,0,0,2,1,2,0,0,0,1,1,0,18,46,164,61
G,,,0.8,,670-89,43,1,2,15,17,0,15,1,1,1,0,4,0,0,0,0,0,0,0,0,34,37,171,58
G,,,0.73,,670-91,38,0,0,29,20,1,6,1,0,0,0,2,1,2,0,0,0,0,0,0,38,46,184,54
A,,,0.71,,670-108,36,0,0,29,23,0,3,5,0,1,0,2,0,1,0,0,0,0,0,0,21,55,176,57
B,,,0.57,,670-11,44,4,0,17,17,0,8,3,0,0,0,6,0,1,0,0,0,0,0,0,55,57,212,47
G,,,0.55,,670-93,34,1,0,30,29,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,33,24,157,64
E,,,0.55,,670-94,57,2,1,16,18,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,15,51,166,60
A,,,0.43,,670-32,44,0,1,18,24,0,7,3,0,0,1,2,0,0,0,0,0,0,0,0,42,93,235,43
B,,,0.35,,670-10,60,6,0,1,5,0,6,4,0,1,0,6,2,6,0,1,0,2,0,1,72,120,293,34
A,,,0.31,,670-107,81,2,0,1,3,0,5,0,1,0,0,3,3,1,0,0,0,0,0,0,47,67,214,47
A,,,0.25,,670-40,61,3,0,0,3,0,14,3,2,0,0,9,1,4,0,0,0,0,0,0,27,68,195,51
E,,,0.2,,670-95,35,3,0,36,19,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,21,57,178,56
A,,,0.18,,670-106,71,5,0,0,3,0,8,5,2,1,0,4,0,0,1,0,0,0,0,0,28,80,208,48
A,,,0.16,,670-105,56,1,0,5,19,0,10,3,1,1,0,2,0,1,0,1,0,0,0,0,40,69,209,48
B,,,0.15,,670-14,32,1,0,34,24,0,6,0,0,0,0,2,0,1,0,0,0,0,0,1,61,54,216,46
A,,,0.1,,670-30,46,1,0,13,19,0,12,5,0,0,1,1,1,1,0,0,0,0,0,0,43,89,232,43
B,upper gasteropod bed,,,260,670-16,46,5,1,25,15,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,10,54,167,60
A,upper gasteropod bed,,,260,670-31,61,5,1,10,8,0,10,2,0,0,0,1,0,1,0,0,0,1,0,8,7,45,160,63
D,,,,259,670-20,57,1,1,27,9,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,49,41,190,53
D,,,,251,670-99,59,4,1,17,9,0,5,2,0,0,1,2,0,0,0,0,0,0,0,0,56,43,199,50
A,,,,210,670-103,77,4,0,2,3,0,9,5,0,0,0,0,0,0,0,0,0,0,0,2,7,41,150,67
A,,,,150,670-102,60,5,0,8,15,0,2,3,0,0,0,5,1,1,0,0,0,0,0,0,46,36,182,55
A,,,,100,670-42,35,1,0,30,25,0,6,0,0,0,0,3,0,0,0,0,0,0,0,3,48,47,198,51
A,,,,15,670-29,32,5,3,16,11,2,10,4,0,2,1,5,1,3,1,0,2,0,2,1,21,172,294,34
A,,,,0,670-78,49,1,0,7,3,0,18,8,1,0,0,5,0,5,0,0,0,1,2,2,26,245,373,27
