sample location,sample number,K-feldspar and untwinned albite,twinned albite,sodic oligoclase,plagioclase >An 24,quartz,chert,quartzite,rock fragments,opaque and coated grains,volcanic glass,others,total grains counted
Sacramento River Colusa,670-GV-29,7,0,2,15,8,2,7,44,10,2,3,100
Sacramento River Rio Vista,670-GV-34,7,0,3,20,18,1,4,37,8,2,0,100
"Sacramento-San Joaquin River, Benicia",670-SFB-583,11,0,3,14,11,2,4,37,18,0,0,100
North San Francisco Bay,670-SFB-117,6,0,1,14,12,2,2,44,15,2,2,100
Bay Bar west of Golden Gate,670-SFB-460,7,0,3,15,30,4,4,29,5,1,2,100
Thornton Beach Formation,670-108,8,0,3,27,19,0,6,24,13,0,0,100
Thornton Beach Formation,670-30,4,0,0,20,29,1,2,29,15,0,0,100
Thornton Beach Formation,670-42,6,1,2,15,24,1,2,29,20,0,0,100
Westlake Formation,670-35,15,2,4,1,27,4,11,31,4,0,1,100
Westlake Formation,670-38,15,2,3,5,42,2,7,11,13,0,0,100
Westlake Formation,670-39,14,3,4,4,38,3,5,22,6,0,1,100
