location,sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,cummingtonite,carbonate,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
Napa River,670-SV-22,5,0,0,72,16,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,0,512,52,664,15
Napa River,670-SV-20,2,1,0,53,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,116,60
Napa River,670-SV-19,4,0,0,70,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,14,206,49
Napa River,670-SV-17,11,0,1,54,31,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,9,72,70,251,40
Napa River,670-SV-16,8,0,4,44,21,1,0,11,4,0,0,1,2,2,0,1,1,0,0,0,3,83,92,278,36
Napa River,670-SV-14,10,0,6,45,18,3,1,12,2,0,2,0,1,0,0,0,0,0,0,0,1,47,65,213,47
Napa River,670-SV-12,13,0,4,38,16,3,2,12,7,0,1,1,0,2,0,0,0,0,0,1,1,92,113,306,33
Napa River,670-SV-24,7,1,3,40,22,8,0,8,7,0,0,0,0,2,0,0,1,0,0,1,4,40,85,229,44
Sonoma Creek,670-SV-29,9,1,0,4,18,24,6,2,2,2,2,4,4,20,0,0,0,0,0,2,3,576,110,789,13
Sonoma Creek,670-SV-28,8,3,1,12,17,17,8,4,3,1,0,4,2,17,0,0,0,0,0,3,2,306,162,570,18
Sonoma Creek,670-SV-27,14,1,3,12,23,19,5,3,3,0,0,3,1,11,0,1,1,0,0,0,2,221,128,451,22
Sonoma Creek,670-SV-26,8,0,1,13,21,28,3,4,2,0,1,4,1,11,0,2,0,0,0,1,0,240,164,504,20
Sonoma Creek,670-SV-25,12,2,0,14,21,24,3,2,2,0,0,2,0,18,0,0,0,0,0,0,6,243,158,507,20
Petaluma Creek,670-SV-30,4,1,2,2,17,38,15,2,7,7,1,1,2,1,0,0,0,0,0,0,0,68,88,256,39
Petaluma Creek,670-SV-31,16,3,0,1,10,29,13,7,11,6,2,1,0,1,0,0,0,0,0,0,0,28,97,225,44
Petaluma Creek,670-SV-34,9,0,0,1,14,22,22,6,10,9,1,2,1,2,0,1,0,0,0,0,3,45,140,288,35
Petaluma Creek,670-SV-33,15,2,0,2,16,13,18,8,11,4,3,2,4,1,0,0,0,0,1,0,0,55,88,243,41
Petaluma Creek,670-SV-32,16,0,0,4,10,20,20,5,15,5,0,3,1,1,0,0,0,0,0,0,0,42,161,303,33
