X,Y,Sample,
-122.554947156279,38.6060033819417,670-SV-22
-122.4846328937,38.558766620927,670-SV-20
-122.465521837717,38.5566031051553,670-SV-19
-122.396445827331,38.4959136030723,670-SV-17
-122.371337505629,38.4425584194553,670-SV-16
-122.331468444326,38.4190283284207,670-SV-14
-122.287643415468,38.3690998893563,670-SV-12
-122.269181414216,38.3251603263776,670-SV-24
-122.510249048144,38.3529413187419,670-SV-29
-122.483709921345,38.3221713166559,670-SV-28
-122.467363357737,38.2937090647264,670-SV-27
-122.46063241978,38.2675545629534,670-SV-26
-122.444285856172,38.2390923110239,670-SV-25
-122.663484860485,38.3015632279542,670-SV-30
-122.641176608973,38.2929091648675,670-SV-31
-122.659253985198,38.269831663303,670-SV-34
-122.66060017279,38.264446912938,670-SV-33
-122.653869234833,38.2609852877033,670-SV-32
