,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF12-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 12,,,,,,,,,,,,,,,,,,,,,
site_lat,37.677222,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495278,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,0,181,47,300,66,no,193,-8,2023,11,8,11,58,1,,,,,,,
2a,,0.05,176,44,300,66,no,186,-8,2023,11,8,12,0,1,,,,,,,
3a,,0.21,177,50,300,66,no,187,-8,2023,11,8,12,3,1,,,,,,,
4a,,0.28,171,48,300,66,no,182,-8,2023,11,8,12,4,1,,,,,,,
5a,,0.48,228,35,300,66,no,237,-8,2023,11,8,12,6,1,,,,,,,
6a,,0.85,166,43,300,66,no,174,-8,2023,11,8,12,7,1,,,,,,,
7a,,1.12,167,31,300,66,no,175,-8,2023,11,8,12,9,1,,,,,,,
8a,,4.22,72,26,300,66,no,440,-8,2023,11,8,12,12,1,,,,,,,
9a,,4.82,141,25,300,66,no,147,-8,2023,11,8,12,16,1,,,,,,,
10a,,8.52,129,27,300,66,no,132,-8,2023,11,8,12,24,1,,,,,,,
11a,,9.92,157,35,300,66,no,160,-8,2023,11,8,12,28,1,,,,,,,
12a,,11.82,180,39,300,66,no,180,-8,2023,11,8,12,30,1,,,,,,,
13a,,15.92,194,32,300,66,no,195,-8,2023,11,8,12,33,1,,,,,,,
