Sample,strat_height,x,interpretation
MF10-1,84,0,uncertain
MF10-2,84.3,0,uncertain
MF10-3,84.4,0,uncertain
MF10-4,84.9,0,uncertain
MF11-1,320,0,uncertain
MF11-2,320.11,0,uncertain
MF11-3,322.31,0,uncertain
MF11-4,322.37,0,uncertain
MF11-5,322.43,0,uncertain
MF12-1,390,0,uncertain
MF12-10,398.52,0,uncertain
MF12-11,399.92,0,uncertain
MF12-12,401.82,0,uncertain
MF12-13,405.92,0,uncertain
MF12-2,390.05,0,uncertain
MF12-3,390.21,0,uncertain
MF12-4,390.28,0,uncertain
MF12-5,390.48,0,uncertain
MF12-6,390.85,0,uncertain
MF12-7,391.12,0,uncertain
MF12-8,394.22,0,uncertain
MF12-9,394.82,0,uncertain
MF13-1,500,0,uncertain
MF13-10,522.2,0,uncertain
MF13-2,501.5,0,uncertain
MF13-3,502.8,0,uncertain
MF13-4,504.6,0,uncertain
MF13-5,507.2,0,uncertain
MF13-6,512.3,0,uncertain
MF13-7,513.7,0,uncertain
MF13-8,516.5,0,uncertain
MF13-9,520,0,uncertain
MF14-1,620,0,uncertain
MF14-2,621.8,0,uncertain
MF14-3,625.5,0,uncertain
MF14-4,627,0,uncertain
MF15-1,670,0,uncertain
MF15-2,673,0,uncertain
MF15-3,676.4,0,uncertain
MF16-1,685,0,uncertain
MF16-10,745.9,0,reversed?
MF16-11,760.2,0,reversed?
MF16-12,767.7,0,uncertain
MF16-13,783.5,0,uncertain
MF16-14,793.6,0,uncertain
MF16-15,803.2,0,uncertain
MF16-16,814.5,0,reversed?
MF16-17,830.2,0,uncertain
MF16-18,837.9,0,uncertain
MF16-19,847,0,uncertain
MF16-2,685.05,0,uncertain
MF16-20,859.2,0,uncertain
MF16-21,738.1,0,uncertain
MF16-22,738.4,0,normal?
MF16-23,739.5,0,uncertain
MF16-24,739.74,0,uncertain
MF16-25,740.86,0,uncertain
MF16-26,741.26,0,normal?
MF16-28,746.72,0,uncertain
MF16-29,747.17,0,uncertain
MF16-3,690.5,0,uncertain
MF16-30,747.51,0,uncertain
MF16-31,748.06,0,uncertain
MF16-32,748.56,0,uncertain
MF16-33,748.75,0,reversed?
MF16-34,749.06,0,reversed?
MF16-35,749.51,0,uncertain
MF16-36,750.16,0,reversed?
MF16-37,783.5,0,reversed?
MF16-38,784.6,0,uncertain
MF16-39,784.95,0,uncertain
MF16-4,694.4,0,uncertain
MF16-40,785.6,0,uncertain
MF16-41,786.1,0,uncertain
MF16-42,786.45,0,uncertain
MF16-43,787.65,0,uncertain
MF16-44,789.05,0,uncertain
MF16-45,790.15,0,normal?
MF16-46,791.25,0,uncertain
MF16-47,790.9,0,uncertain
MF16-48,791.18,0,uncertain
MF16-49,791.88,0,normal?
MF16-5,702.8,0,reversed?
MF16-50,793.38,0,uncertain
MF16-51,794.88,0,uncertain
MF16-52,795.08,0,reversed?
MF16-53,795.2,0,uncertain
MF16-54,795.35,0,uncertain
MF16-55,795.8,0,uncertain
MF16-56,795.93,0,uncertain
MF16-57,796.17,0,uncertain
MF16-58,796.25,0,uncertain
MF16-59,796.32,0,normal?
MF16-6,708.3,0,uncertain
MF16-60,796.36,0,uncertain
MF16-61,796.36,0,uncertain
MF16-62,796.36,0,normal?
MF16-63,796.42,0,uncertain
MF16-64,796.6,0,uncertain
MF16-65,796.66,0,uncertain
MF16-66,796.74,0,uncertain
MF16-67,803.54,0,uncertain
MF16-68,803.74,0,uncertain
MF16-69,803.89,0,uncertain
MF16-7,721.7,0,uncertain
MF16-70,804.02,0,uncertain
MF16-71,804.26,0,uncertain
MF16-72,804.32,0,uncertain
MF16-73,804.49,0,uncertain
MF16-8,723,0,uncertain
MF16-9,735.1,0,reversed?
MF2-1,1465.08,0,normal
MF2-2,1465.25,0,normal?
MF2-3,1465.7,0,normal?
MF2-4,1467,0,normal
MF2-5,1467.05,0,normal
MF2-6,1467.22,0,normal?
MF3-1,1407,0,normal
MF3-2,1407.2,0,normal
MF3-3,1407.4,0,normal
MF3-4,1411.4,0,normal
MF4-2,1360.55,0,normal
MF4-3,1360.63,0,normal
MF4-4,1361.1,0,normal
MF4-5,1362.3,0,normal
MF4-6,1362.4,0,normal
MF5-1,1278.3,0,normal
MF5-2,1279.95,0,normal
MF5-3,1282.1,0,normal
MF5-4,1283.2,0,normal
MF5-5,1284,0,normal
MF5-6,1287,0,normal
MF5-7,1287.4,0,normal
MF6-1,1237.4,0,uncertain
MF6-2,1240.8,0,normal
MF6-3,1244.2,0,normal
MF6-4,1247.2,0,normal
MF6-5,1248.7,0,uncertain
MF6-6,1250.2,0,uncertain
MF7-1,876.4,0,uncertain
MF7-2,879.2,0,normal
MF7-3,881,0,normal
MF7-4,882.9,0,uncertain
MF7-5,884.3,0,uncertain
MF7-6,884.4,0,uncertain
MF8-1,953.35,0,uncertain
MF8-10,959.45,0,uncertain
MF8-11,967.65,0,normal
MF8-12,969.25,0,uncertain
MF8-13,969.55,0,normal
MF8-14,969.05,0,normal
MF8-15,969.35,0,uncertain
MF8-16,971.55,0,normal
MF8-17,972.45,0,uncertain
MF8-18,973.35,0,uncertain
MF8-19,978.05,0,normal
MF8-2,953.85,0,uncertain
MF8-20,978.65,0,uncertain
MF8-21,979.95,0,uncertain
MF8-22,981.05,0,normal
MF8-23,982.35,0,normal
MF8-24,984.25,0,normal?
MF8-25,986.75,0,uncertain
MF8-27,991.95,0,uncertain
MF8-28,992.75,0,normal
MF8-29,995.35,0,normal
MF8-3,953.65,0,uncertain
MF8-30,1004.55,0,uncertain
MF8-31,1007.25,0,normal?
MF8-32,1008.75,0,uncertain
MF8-33,1010.95,0,normal
MF8-34,1014.25,0,normal
MF8-35,1016.25,0,normal
MF8-36,1018.35,0,uncertain
MF8-37,1019.05,0,normal
MF8-38,1022.15,0,normal
MF8-39,1024.35,0,uncertain
MF8-40,1024.45,0,normal?
MF8-41,1026.65,0,uncertain
MF8-42,1028.55,0,uncertain
MF8-43,1031.05,0,normal?
MF8-44,1033.45,0,normal
MF8-45,1036.55,0,uncertain
MF8-46,1039.55,0,normal?
MF8-47,1040.05,0,normal?
MF8-48,1041.05,0,uncertain
MF8-49,1041.65,0,normal?
MF8-5,954.55,0,uncertain
MF8-50,1045.65,0,uncertain
MF8-51,1048.35,0,uncertain
MF8-52,1050.55,0,uncertain
MF8-53,1052.95,0,normal
MF8-54,1055.55,0,uncertain
MF8-55,1056.65,0,uncertain
MF8-56,1059.65,0,uncertain
MF8-57,1062.05,0,normal
MF8-58,1064.75,0,normal
MF8-59,1071.45,0,normal?
MF8-6,954.45,0,uncertain
MF8-60,1074.35,0,normal?
MF8-61,1075.75,0,uncertain
MF8-62,1077.75,0,normal
MF8-63,1077.25,0,uncertain
MF8-64,1080.35,0,uncertain
MF8-65,1082.25,0,normal
MF8-66,1106.75,0,uncertain
MF8-67,1107.95,0,uncertain
MF8-68,1115.35,0,uncertain
MF8-69,971.85,0,uncertain
MF8-7,954.5,0,uncertain
MF8-70,971.93,0,uncertain
MF8-71,972.13,0,uncertain
MF8-72,972.36,0,uncertain
MF8-73,972.53,0,reversed?
MF8-74,972.96,0,reversed
MF8-75,973.06,0,reversed
MF8-76,973.45,0,reversed?
MF8-77,973.58,0,uncertain
MF8-78,973.68,0,reversed
MF8-8,955.95,0,normal
MF8-9,958.55,0,normal
MF9-1,1184,0,normal
MF9-2,1186.7,0,normal
MF9-3,1192.5,0,normal
MF9-4,1196.6,0,uncertain
MF9-5,1198.4,0,normal
MF9-6,1200.5,0,normal
MF9-7,1203.1,0,normal
MF9-8,1206,0,uncertain
